,Unnamed: 0,id,date,from_id,to_id,fwd_from,message
0,0,94709,2020-08-10 14:18:40+00:00,138918380,511986933,,Наступного місяця бо зараз там якісь зміни в управлінні і не проводять іспити 
1,1,94708,2020-08-10 14:18:14+00:00,138918380,511986933,,Добре ти правий так і зробимо
2,2,94707,2020-08-10 14:17:57+00:00,138918380,511986933,,Привіт 
3,3,94706,2020-08-10 14:17:35+00:00,511986933,138918380,,Коли у тебе до речі по водінню іспит 
4,4,94705,2020-08-10 14:17:17+00:00,511986933,138918380,,Ти п яте ще не робив 
5,5,94704,2020-08-10 14:17:07+00:00,511986933,138918380,,Щоб пошвидше
6,6,94703,2020-08-10 14:16:57+00:00,511986933,138918380,,Просто потрібно спочатку скинути йому щоб він переглянув а потім уже будемо додаткові робити
7,7,94702,2020-08-10 14:16:13+00:00,511986933,138918380,,Привіт Діма ти може бенчмарк поки можеш не добавляти або у окрему гілку якусь
8,8,94581,2020-08-09 17:50:50+00:00,511986933,138918380,,написати
9,9,94580,2020-08-09 17:50:45+00:00,511986933,138918380,,
10,10,94579,2020-08-09 17:49:34+00:00,138918380,511986933,,активно займатися лаба
11,11,94578,2020-08-09 17:49:16+00:00,511986933,138918380,,річ частково зробити твій функція масив
12,12,94577,2020-08-09 17:48:54+00:00,511986933,138918380,,гіт закидати ятий завдання
13,13,94559,2020-08-09 12:30:33+00:00,138918380,511986933,,зробити
14,14,94558,2020-08-09 12:30:20+00:00,138918380,511986933,,привіт
15,15,94537,2020-08-09 08:19:54+00:00,511986933,138918380,,функція зчитування
16,16,94536,2020-08-09 08:19:23+00:00,511986933,138918380,,частково
17,17,94535,2020-08-09 08:19:11+00:00,511986933,138918380,,привіт діма завдання зробити
18,18,94522,2020-08-08 20:10:04+00:00,511986933,138918380,,
19,19,94518,2020-08-08 19:49:43+00:00,138918380,511986933,,
20,20,94517,2020-08-08 19:49:31+00:00,138918380,511986933,,треба робити
21,21,94516,2020-08-08 19:49:23+00:00,138918380,511986933,,сподіватися понеділок мати готово
22,22,94515,2020-08-08 19:49:09+00:00,138918380,511986933,,завтра допрацьовувати
23,23,94514,2020-08-08 19:49:01+00:00,138918380,511986933,,пушнути
24,24,94502,2020-08-08 17:35:37+00:00,138918380,511986933,,окий
25,25,94501,2020-08-08 17:34:25+00:00,511986933,138918380,,
26,26,94500,2020-08-08 17:34:11+00:00,511986933,138918380,,
27,27,94475,2020-08-08 16:38:21+00:00,138918380,511986933,,окойа
28,28,94474,2020-08-08 16:38:15+00:00,138918380,511986933,,спокійно дивитися тепер дуже добре розбиратися працювати
29,29,94473,2020-08-08 16:38:00+00:00,511986933,138918380,,дати безкоштовно
30,30,94472,2020-08-08 16:37:42+00:00,138918380,511986933,,радий пропасти страх код аха
31,31,94471,2020-08-08 16:37:42+00:00,511986933,138918380,,форма заповнити тип студент
32,32,94470,2020-08-08 16:37:25+00:00,138918380,511986933,,страшно
33,33,94469,2020-08-08 16:37:19+00:00,511986933,138918380,,написати
34,34,94468,2020-08-08 16:37:13+00:00,511986933,138918380,"MessageFwdHeader(date=datetime.datetime(2020, 8, 7, 18, 0, 16, tzinfo=datetime.timezone.utc), from_id=470409323, from_name=None, channel_id=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",viva64 com
35,35,94467,2020-08-08 16:36:51+00:00,511986933,138918380,,більший кількість помилка вказувати
36,36,94466,2020-08-08 16:36:40+00:00,511986933,138918380,,скачати pvc
37,37,94465,2020-08-08 16:36:28+00:00,511986933,138918380,,
38,38,94464,2020-08-08 16:36:19+00:00,511986933,138918380,,валгрінор пройтися
39,39,94463,2020-08-08 16:36:08+00:00,511986933,138918380,,зробити
40,40,94459,2020-08-08 16:32:48+00:00,138918380,511986933,,справа перший лаба
41,41,94455,2020-08-08 16:31:22+00:00,511986933,138918380,,треба зробити
42,42,94454,2020-08-08 16:31:17+00:00,511986933,138918380,,тобто код інший модуль
43,43,94453,2020-08-08 16:31:07+00:00,511986933,138918380,,запуститися змогти використати порівняння взагалі використати функція порівнювати
44,44,94452,2020-08-08 16:30:29+00:00,511986933,138918380,,початок
45,45,94451,2020-08-08 16:30:24+00:00,511986933,138918380,,
46,46,94449,2020-08-08 16:18:54+00:00,138918380,511986933,,другий додатковий зроблений повністю
47,47,94448,2020-08-08 16:18:44+00:00,138918380,511986933,,дякувати
48,48,94446,2020-08-08 16:09:29+00:00,511986933,138918380,,
49,49,94445,2020-08-08 16:09:14+00:00,511986933,138918380,,
50,50,94444,2020-08-08 16:06:21+00:00,511986933,138918380,,порівняння використати
51,51,94443,2020-08-08 16:06:13+00:00,511986933,138918380,,github com
52,52,94442,2020-08-08 16:05:34+00:00,511986933,138918380,,дуже хороший приклад
53,53,94441,2020-08-08 16:05:25+00:00,511986933,138918380,,github com
54,54,94440,2020-08-08 16:04:21+00:00,511986933,138918380,,youtube com
55,55,94439,2020-08-08 16:02:23+00:00,511986933,138918380,,одразу запрацювати
56,56,94438,2020-08-08 16:02:14+00:00,511986933,138918380,,легше тест
57,57,94437,2020-08-08 16:02:03+00:00,511986933,138918380,,складно
58,58,94436,2020-08-08 16:01:55+00:00,511986933,138918380,,
59,59,94435,2020-08-08 16:01:30+00:00,511986933,138918380,,
60,60,94434,2020-08-08 16:00:30+00:00,138918380,511986933,,мати другий додатковий
61,61,94433,2020-08-08 16:00:19+00:00,511986933,138918380,,
62,62,94432,2020-08-08 16:00:12+00:00,138918380,511986933,,ввід виводо обоє
63,63,94431,2020-08-08 16:00:03+00:00,138918380,511986933,,
64,64,94430,2020-08-08 15:59:39+00:00,511986933,138918380,,яти завдання функція увод вивід
65,65,94429,2020-08-08 15:59:08+00:00,138918380,511986933,,окойа нулі напишува порівняти твій код
66,66,94428,2020-08-08 15:58:47+00:00,511986933,138918380,,практик
67,67,94427,2020-08-08 15:58:42+00:00,511986933,138918380,,домовитися обоє писати
68,68,94426,2020-08-08 15:58:34+00:00,511986933,138918380,,пити
69,69,94425,2020-08-08 15:58:02+00:00,138918380,511986933,,мушити компенсувати свій код
70,70,94424,2020-08-08 15:57:55+00:00,138918380,511986933,,дуже написати
71,71,94423,2020-08-08 15:57:33+00:00,138918380,511986933,,може написати
72,72,94422,2020-08-08 15:57:07+00:00,138918380,511986933,,
73,73,94421,2020-08-08 15:56:41+00:00,511986933,138918380,,один дописати
