,Unnamed: 0,id,date,from_id,to_id,fwd_from,message
54,54,93564,2020-08-03 18:45:02+00:00,347963763,511986933,"MessageFwdHeader(date=datetime.datetime(2020, 8, 3, 18, 44, 52, tzinfo=datetime.timezone.utc), from_id=1001618937, from_name=None, channel_id=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",завантаж відео добера музика мочь завантажить відео який використовуючий команда upload new video
55,55,93563,2020-08-03 18:45:02+00:00,347963763,511986933,"MessageFwdHeader(date=datetime.datetime(2020, 8, 3, 18, 44, 52, tzinfo=datetime.timezone.utc), from_id=347963763, from_name=None, channel_id=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",upload new video
56,56,93562,2020-08-03 18:45:02+00:00,347963763,511986933,"MessageFwdHeader(date=datetime.datetime(2020, 8, 3, 18, 44, 45, tzinfo=datetime.timezone.utc), from_id=1001618937, from_name=None, channel_id=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",upload video will select music can upload video time using upload new video command
57,57,93561,2020-08-03 18:45:02+00:00,347963763,511986933,"MessageFwdHeader(date=datetime.datetime(2020, 8, 3, 18, 44, 44, tzinfo=datetime.timezone.utc), from_id=347963763, from_name=None, channel_id=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",upload new video
58,58,93518,2020-08-03 08:05:55+00:00,347963763,511986933,,
59,59,93517,2020-08-03 07:28:37+00:00,511986933,347963763,,
60,60,93516,2020-08-03 07:28:23+00:00,511986933,347963763,,
61,61,93515,2020-08-03 07:27:29+00:00,511986933,347963763,,привет
62,62,93511,2020-08-03 05:49:25+00:00,347963763,511986933,,кстати дополнительно задача замечать пользуешся бот писать английский отвечать твой язык глеб готовый брать задание дать простенький задание списка
63,63,93510,2020-08-03 05:44:42+00:00,347963763,511986933,,быстро кажеться течение неделя подача заявка назначать офлайн питчинг unit city
64,64,93509,2020-08-03 05:43:44+00:00,347963763,511986933,,точно знать большой заявка хотеть конец неделя податьь
65,65,93508,2020-08-02 18:01:04+00:00,511986933,347963763,,происходитьь
66,66,93507,2020-08-02 18:00:54+00:00,511986933,347963763,,подадить док
67,67,93506,2020-08-02 17:59:57+00:00,347963763,511986933,,
68,68,93505,2020-08-02 17:37:13+00:00,511986933,347963763,,полтавська обл лохвиця поо космонавтіл будалее
69,69,93504,2020-08-02 17:36:38+00:00,511986933,347963763,,герасимук денис вікторовичас
70,70,93503,2020-08-02 17:18:02+00:00,347963763,511986933,,кстати заявка украиский фонд стартап полный фиолй адрес каждый учасник команда скинуть украиск фих адрас
71,71,93502,2020-08-02 16:52:45+00:00,347963763,511986933,,вариант пробовать заново запустить юпитер версия анаконд качать path проверить нужный анаконда установить лоб запускать юпитер анаконд
72,72,93501,2020-08-02 16:39:33+00:00,511986933,347963763,,conda install conda forge catboost
73,73,93500,2020-08-02 14:14:33+00:00,347963763,511986933,,команда устанавливать либу
74,74,93499,2020-08-02 14:12:24+00:00,511986933,347963763,,пофикситьь
75,75,93498,2020-08-02 14:12:19+00:00,511986933,347963763,,
76,76,93497,2020-08-02 14:11:39+00:00,511986933,347963763,,
77,77,93496,2020-08-02 14:11:24+00:00,511986933,347963763,,anaconda org
78,78,93495,2020-08-02 14:11:14+00:00,511986933,347963763,,
79,79,93494,2020-08-02 09:04:29+00:00,347963763,511986933,,круто большоее
80,80,93493,2020-08-02 08:47:46+00:00,511986933,347963763,"MessageFwdHeader(date=datetime.datetime(2020, 7, 24, 16, 41, 13, tzinfo=datetime.timezone.utc), from_id=511986933, from_name=None, channel_id=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",machine learning курси towardsdatascience com elitedatascience com elitedatascience com first courses mrdbourke useful blog github com roadmap
81,81,93492,2020-08-02 07:31:05+00:00,347963763,511986933,,скинуть road map
82,82,93454,2020-08-01 20:27:08+00:00,347963763,511986933,,arxiv org print archive arxiv org
83,83,93450,2020-08-01 19:54:47+00:00,511986933,347963763,,мочь скинуть сайт который архив смотретьь
84,84,93449,2020-08-01 19:49:37+00:00,347963763,511986933,,денис команда настроить удобный среда тестирование дальнейший обновление бота добавить подписка ссылка музыка сложный видеомонтажер удобный добавить кнопка pay светить user оплата самостоятельно отслеживать юзер отправить видео сервер точно оплата upload video приходить запрос видео загрузить мочь автоматически начать обрабатывать видео добавить аналитика условно админ писать команда покажи аналитика бота писать последний час неделя месяц делать столько регистрация столько загрузить новый видео столько активный пользователь столько делать оплата команда admin админ отправлять админский команда ошибка язык первый сообщение очистка heroku dyno перевести текст команда support русский украинский назар тестировать бота возможный вариант дать человек тестировать выражать мнение протестить тип видео формат найти ограничение размер видео класть сервер писать пользователь делать продакшн ядро amazon aws менять ссылка переменный окружение перевести веб страница загрузка видо
85,85,93293,2020-08-01 08:53:09+00:00,347963763,511986933,,мочь немного давать юзать бота человек помогать сделатр
86,86,93292,2020-08-01 08:50:17+00:00,347963763,511986933,,
87,87,93291,2020-08-01 08:49:01+00:00,511986933,347963763,,
88,88,93290,2020-08-01 08:48:41+00:00,511986933,347963763,,
89,89,93289,2020-08-01 08:47:04+00:00,347963763,511986933,,итак поздравлять денис успеть срок делать продакшн чат бота чесно говорить конец думать успей большой молодец
90,90,93288,2020-08-01 08:42:07+00:00,347963763,511986933,,запушить протестилитр
91,91,93287,2020-08-01 08:26:47+00:00,347963763,511986933,,поменять быстренько
92,92,93286,2020-08-01 08:25:29+00:00,347963763,511986933,,пробовать оплата полностью работать деньги приходитьт
93,93,93285,2020-08-01 08:19:50+00:00,347963763,511986933,,кстати писать description harmix bot premium functions пользователь волноватьсья
94,94,93284,2020-08-01 08:16:19+00:00,347963763,511986933,,попробаюить
95,95,93283,2020-08-01 08:15:59+00:00,347963763,511986933,,сайт оплата конец пройти уха писать подписка появиться сразу решить оплата делать наверное нажать появиться last functioin pay
96,96,93282,2020-08-01 08:12:06+00:00,511986933,347963763,,привет назар
97,97,93281,2020-08-01 07:55:05+00:00,347963763,511986933,,удать делать order попробую делать оплата сайте
98,98,93280,2020-08-01 07:54:17+00:00,347963763,511986933,,протестить телеграмма работает
99,99,93279,2020-08-01 07:46:34+00:00,347963763,511986933,,поэтому менять ключ токный live тестить приходить деньги
100,100,93278,2020-08-01 07:46:09+00:00,347963763,511986933,,протестить большой видео который сбросить видео студия отлично работатт
101,101,93277,2020-08-01 06:27:12+00:00,347963763,511986933,,сработать ураа
102,102,93276,2020-08-01 06:01:50+00:00,347963763,511986933,,пробобать удалить ставить order пробовать
103,103,93275,2020-08-01 06:00:54+00:00,347963763,511986933,,прийти сообщение оплатаее
104,104,93273,2020-07-31 21:47:21+00:00,347963763,511986933,,
105,105,93272,2020-07-31 21:47:11+00:00,511986933,347963763,,мелкий поправка добавить комент ексепт
106,106,93271,2020-07-31 21:46:53+00:00,511986933,347963763,,пуш делоюить
107,107,93270,2020-07-31 21:46:53+00:00,347963763,511986933,,
108,108,93269,2020-07-31 21:46:47+00:00,511986933,347963763,,завтра попробайаа
109,109,93268,2020-07-31 21:46:14+00:00,347963763,511986933,,задержкойаа
110,110,93267,2020-07-31 21:45:58+00:00,347963763,511986933,,прийтио
111,111,93266,2020-07-31 21:45:49+00:00,347963763,511986933,"MessageFwdHeader(date=datetime.datetime(2020, 7, 31, 21, 45, 25, tzinfo=datetime.timezone.utc), from_id=1001618937, from_name=None, channel_id=None, channel_post=None, post_author=None, saved_from_peer=None, saved_from_msg_id=None, psa_type=None)",woohoo thanks payment now get harmix pro monthly subscription plenty amount premium features fun watching can find information subscription plan using subscription status command
112,112,93265,2020-07-31 21:43:29+00:00,511986933,347963763,,завтра пробовать отпидоошот
113,113,93264,2020-07-31 21:43:29+00:00,347963763,511986933,,
114,114,93263,2020-07-31 21:43:22+00:00,511986933,347963763,,завтра чекнийметр
115,115,93262,2020-07-31 21:42:51+00:00,347963763,511986933,,менять start date равно работает
116,116,93261,2020-07-31 21:06:11+00:00,511986933,347963763,,проверитьлитр
117,117,93260,2020-07-31 21:02:47+00:00,511986933,347963763,,
118,118,93259,2020-07-31 21:00:51+00:00,347963763,511986933,,
119,119,93258,2020-07-31 21:00:09+00:00,347963763,511986933,,
120,120,93257,2020-07-31 20:58:36+00:00,511986933,347963763,,
121,121,93256,2020-07-31 20:57:00+00:00,511986933,347963763,,
122,122,93255,2020-07-31 20:56:46+00:00,511986933,347963763,,понятнытьо
123,123,93254,2020-07-31 20:56:38+00:00,511986933,347963763,,start subscription date
124,124,93253,2020-07-31 20:46:45+00:00,347963763,511986933,,us04web zoom
125,125,93252,2020-07-31 20:46:04+00:00,347963763,511986933,,зум минат
126,126,93251,2020-07-31 20:45:52+00:00,347963763,511986933,,хелпер сработать оплата сайте
127,127,93250,2020-07-31 20:44:26+00:00,347963763,511986933,,пробуеметр
128,128,93249,2020-07-31 20:44:19+00:00,511986933,347963763,,свой счойт
129,129,93248,2020-07-31 20:44:13+00:00,511986933,347963763,,мочь карточка разшитоватьсьяияя
130,130,93247,2020-07-31 20:43:54+00:00,511986933,347963763,,мой аке
131,131,93246,2020-07-31 20:43:47+00:00,511986933,347963763,,
132,132,93241,2020-07-31 20:39:42+00:00,511986933,347963763,,пробовать хелпер помощь buy subscription
133,133,93240,2020-07-31 20:39:15+00:00,511986933,347963763,,
134,134,93239,2020-07-31 20:39:09+00:00,511986933,347963763,,хелпера делолитр
135,135,93238,2020-07-31 20:38:56+00:00,511986933,347963763,,норметр
136,136,93237,2020-07-31 20:01:24+00:00,347963763,511986933,,мой сестра сработатьо
137,137,93236,2020-07-31 20:00:45+00:00,347963763,511986933,,service helper harmix проблемаа
138,138,93235,2020-07-31 19:13:01+00:00,347963763,511986933,,ошибка jul whispering shore app веб json data liqpay status success jul whispering shore app веб user order order jul whispering shore app веб user data start subscription date jul whispering shore app веб error app exception buy subscription post jul whispering shore app веб traceback recent call last jul whispering shore app веб file app heroku python lйib python3 site packages flask app line wsgi app jul whispering shore app веб response self full dispatch request jul whispering shore app веб file app heroku python lйib python3 site packages flask app line full dispatch request jul whispering shore app веб return self finalize request jul whispering shore app веб file app heroku python lйib python3 site packages flask app line finalize request jul whispering shore app веб response self make response jul whispering shore app веб file app heroku python lйib python3 site packages flask app line make response jul whispering shore app веб view function return valid response jul whispering shore app веб typeerror view function return valid response function either returned none ended without return statement jul whispering shore app веб jul post buy subscription http
139,139,93230,2020-07-31 18:59:42+00:00,347963763,511986933,,странный прикол оплата оплата телефон работать оплата сайт работать выполнять оплата бота писать коронной woohoo дякуємо оплата странный аккаунт работать телефон сайта
140,140,93229,2020-07-31 17:59:26+00:00,347963763,511986933,,
141,141,93228,2020-07-31 17:57:40+00:00,511986933,347963763,,
142,142,93227,2020-07-31 17:57:34+00:00,511986933,347963763,,
143,143,93226,2020-07-31 17:55:19+00:00,347963763,511986933,,
144,144,93225,2020-07-31 17:52:59+00:00,347963763,511986933,,моее
145,145,93224,2020-07-31 17:44:19+00:00,511986933,347963763,,
146,146,93223,2020-07-31 17:39:13+00:00,511986933,347963763,,твое
147,147,93222,2020-07-31 17:39:09+00:00,511986933,347963763,,
148,148,93221,2020-07-31 17:36:35+00:00,347963763,511986933,,
149,149,93220,2020-07-31 17:36:23+00:00,347963763,511986933,,
150,150,93219,2020-07-31 17:35:53+00:00,347963763,511986933,,
151,151,93218,2020-07-31 17:29:49+00:00,511986933,347963763,,
152,152,93217,2020-07-31 17:29:45+00:00,511986933,347963763,,
153,153,93216,2020-07-31 17:29:04+00:00,511986933,347963763,,остальной удатьюи
154,154,93215,2020-07-31 17:28:55+00:00,511986933,347963763,,какой сдесь темплейт использовать создлитр
155,155,93214,2020-07-31 17:28:37+00:00,511986933,347963763,,
156,156,93213,2020-07-31 17:27:56+00:00,347963763,511986933,,заменить bot harmix bot
157,157,93212,2020-07-31 17:27:40+00:00,347963763,511986933,,флайл делать поиск
158,158,93211,2020-07-31 17:27:31+00:00,347963763,511986933,,
159,159,93210,2020-07-31 17:27:26+00:00,347963763,511986933,,оплата протещау
160,160,93209,2020-07-31 17:27:09+00:00,511986933,347963763,,оплатаа
161,161,93208,2020-07-31 17:26:54+00:00,347963763,511986933,,опрос работать файл
162,162,93207,2020-07-31 17:24:21+00:00,347963763,511986933,,
163,163,93196,2020-07-31 16:24:46+00:00,347963763,511986933,,протестить avi mov ogg wmv вйб рабоатет
164,164,93195,2020-07-31 16:20:28+00:00,347963763,511986933,,кстати найти полезный сайт тестовый видео разный формат размер standaloneinstaller com
165,165,93194,2020-07-31 16:14:56+00:00,347963763,511986933,,hobby
166,166,93193,2020-07-31 16:14:46+00:00,347963763,511986933,,уменьшить кол воркеров
167,167,93153,2020-07-31 15:10:12+00:00,347963763,511986933,,менять ссылка harmix bot
168,168,93152,2020-07-31 15:09:44+00:00,347963763,511986933,,
169,169,93134,2020-07-31 14:42:43+00:00,347963763,511986933,,
170,170,93133,2020-07-31 14:42:38+00:00,511986933,347963763,,делатьь
171,171,93132,2020-07-31 14:42:24+00:00,511986933,347963763,,
172,172,93131,2020-07-31 14:41:30+00:00,347963763,511986933,,
173,173,93130,2020-07-31 14:41:10+00:00,347963763,511986933,,
174,174,93129,2020-07-31 14:41:04+00:00,347963763,511986933,,
175,175,93128,2020-07-31 14:40:02+00:00,511986933,347963763,,
176,176,93127,2020-07-31 14:39:47+00:00,511986933,347963763,,
177,177,93126,2020-07-31 14:39:06+00:00,347963763,511986933,,воркер нагрузка обновлять главный разработчик соединение закрыватр
178,178,93125,2020-07-31 14:38:21+00:00,347963763,511986933,,молодац
179,179,93124,2020-07-31 14:37:59+00:00,511986933,347963763,,подключить написоошитр
180,180,93123,2020-07-31 14:37:43+00:00,511986933,347963763,,нобор
181,181,93122,2020-07-31 14:37:34+00:00,511986933,347963763,,
182,182,93121,2020-07-31 14:37:33+00:00,511986933,347963763,,хуууух
